datetime,open,high,low,close,volume,kline_status,raw_fractal,candidate_display,valid_fractal
2024-04-09,31.05,32.8,31.05,32.35,15605316.0,TREND_UP,TOP,Bc,
2024-04-10,31.61,31.97,28.71,29.3,23480894.0,TREND_DOWN,,Tc,
2024-04-11,28.99,29.82,28.12,28.2,17599674.0,TREND_DOWN,,,
2024-04-15,28.2,28.8,27.59,27.93,13493583.0,TREND_DOWN_(M),,,
2024-04-18,27.5,27.5,26.07,27.14,14322618.0,TREND_DOWN_(M),,,
2024-04-19,26.91,26.91,25.62,25.68,13111924.0,TREND_DOWN,,,
2024-04-22,25.35,26.17,24.92,25.87,9511512.0,TREND_DOWN,BOTTOM,,
2024-04-23,26.18,26.67,25.83,26.48,9627007.0,TREND_UP,,Bc,
2024-04-24,26.72,28.4,26.66,28.17,14819623.0,TREND_UP,,,
2024-04-25,27.96,29.44,27.79,28.8,12719478.0,TREND_UP,,,
2024-04-26,28.7,29.65,28.68,29.29,12115228.0,TREND_UP,,,
2024-04-29,29.29,30.2,29.2,30.02,12488532.0,TREND_UP,TOP,,
2024-04-30,30.08,30.18,29.18,29.35,8418975.0,TREND_DOWN,,Tc,
2024-05-06,29.85,29.98,29.02,29.07,9153127.0,TREND_DOWN,,,
2024-05-07,29.07,29.88,28.8,29.26,7483250.999999999,TREND_DOWN,,,
2024-05-08,29.19,29.44,28.5,29.0,8587153.0,TREND_DOWN,BOTTOM,,
2024-05-09,28.98,30.6,28.82,30.28,15507074.0,TREND_UP,TOP,Bc,
2024-05-10,30.28,30.56,28.1,28.17,19172716.0,TREND_DOWN,,Tc,
2024-05-15,27.76,28.08,26.86,27.29,13972975.0,TREND_DOWN_(M),BOTTOM,,
2024-05-16,27.55,28.89,27.0,28.35,17951087.0,TREND_UP,,Bc,
2024-05-23,28.7,31.44,28.7,29.25,36868468.0,TREND_UP_(M),TOP,,
2024-05-27,28.89,29.44,27.51,29.44,11273867.0,TREND_DOWN_(M),BOTTOM,Tc,
2024-05-28,29.2,30.51,28.63,29.26,18493227.0,TREND_UP,TOP,Bc,
2024-06-03,28.99,29.48,28.14,28.56,11277528.0,TREND_DOWN_(M),,Tc,
2024-06-04,28.41,29.3,27.78,28.95,15199567.0,TREND_DOWN,BOTTOM,,
